InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
557222,22692,DOORMAT WELCOME TO OUR HOME,2,6/17/11 13:14,7.95,14936,Channel Islands
578541,21679,SKULLS  STICKERS,24,11/24/11 15:01,0.85,14277,France
569866,22733,3D TRADITIONAL CHRISTMAS STICKERS,2,10/6/11 14:50,1.25,12757,Portugal
572695,23333,IVORY WICKER HEART MEDIUM,12,10/25/11 14:23,1.25,12610,Italy
581001,23562,SET OF 6 RIBBONS PERFECTLY PRETTY  ,6,12/7/11 8:07,2.89,12583,France
561093,21703,BAG 125g SWIRLY MARBLES,12,7/25/11 10:01,0.42,12540,Spain
569010,22637,PIGGY BANK RETROSPOT ,96,9/30/11 7:36,2.1,14156,EIRE
541675,22663,JUMBO BAG DOLLY GIRL DESIGN,10,1/20/11 13:49,1.95,12402,Belgium
561470,22966,GINGERBREAD MAN COOKIE CUTTER,12,7/27/11 13:14,1.25,12523,France
560783,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,7/21/11 10:24,4.95,15108,European Community
546365,21519,GIN & TONIC DIET GREETING CARD ,12,3/11/11 11:35,0.42,12520,Germany
581175,23390,DOLLY GIRL MINI BACKPACK,50,12/7/11 15:16,3.75,14646,Netherlands
557489,20979,36 PENCILS TUBE RED RETROSPOT,16,6/20/11 14:58,1.25,12490,France
540455,21042,RED RETROSPOT APRON ,6,1/7/11 12:07,5.95,12583,France
558113,21539,RED RETROSPOT BUTTER DISH,3,6/27/11 8:48,4.95,14911,EIRE
558628,23203,JUMBO BAG DOILEY PATTERNS,10,6/30/11 17:59,2.08,12626,Germany
556469,22386,JUMBO BAG PINK POLKADOT,50,6/12/11 11:37,2.08,12516,Germany
541518,21209,MULTICOLOUR HONEYCOMB FAN,48,1/19/11 9:05,0.65,12451,Switzerland
575886,20973,12 PENCIL SMALL TUBE WOODLAND,8,11/11/11 13:57,0.65,12517,Germany
564150,21094,SET/6 RED SPOTTY PAPER PLATES,24,8/23/11 12:30,0.85,14936,Channel Islands
568798,22349,DOG BOWL CHASING BALL DESIGN,6,9/29/11 10:23,3.75,12615,France
563076,23173,REGENCY TEAPOT ROSES ,24,8/11/11 16:12,8.15,14646,Netherlands
573362,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,10/30/11 13:06,0.55,12597,Spain
558871,84997D,CHILDRENS CUTLERY POLKADOT PINK,360,7/4/11 13:19,3.75,12557,Spain
564856,20772,GARDEN PATH JOURNAL,12,8/31/11 9:11,2.55,12477,Germany
559704,22891,TEA FOR ONE POLKADOT,3,7/12/11 9:54,4.25,12669,France
554139,22483,RED GINGHAM TEDDY BEAR ,6,5/23/11 10:34,2.95,14911,EIRE
560245,23012,GLASS APOTHECARY BOTTLE PERFUME,1,7/17/11 12:15,3.95,,Switzerland
575508,22398,MAGNETS PACK OF 4 SWALLOWS,72,11/10/11 10:32,0.39,14646,Netherlands
545579,20723,STRAWBERRY CHARLOTTE BAG,10,3/4/11 8:10,0.85,17508,Greece
561332,48194,DOORMAT HEARTS,6,7/26/11 14:25,7.95,13492,Switzerland
537915,22561,WOODEN SCHOOL COLOURING SET,12,12/9/10 10:55,1.65,12797,Portugal
578333,23480,MINI LIGHTS WOODLAND MUSHROOMS,4,11/24/11 8:50,3.75,12471,Germany
576629,22752,SET 7 BABUSHKA NESTING BOXES,6,11/16/11 8:37,8.5,12621,Germany
555650,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,6,6/6/11 13:48,3.29,14156,EIRE
575787,21881,CUTE CATS TAPE,12,11/11/11 11:18,0.65,12518,Germany
561583,22452,MEASURING TAPE BABUSHKA PINK,12,7/28/11 10:33,2.95,13813,Germany
537868,21260,FIRST AID TIN,12,12/8/10 16:49,3.25,12433,Norway
548909,37446,MINI CAKE STAND WITH HANGING CAKES,16,4/5/11 8:43,1.45,12779,Poland
557621,85232D,SET/3 DECOUPAGE STACKING TINS,3,6/21/11 14:00,4.95,12444,Norway
543989,22843,BISCUIT TIN VINTAGE GREEN,12,2/15/11 9:52,5.95,12415,Australia
547684,23176,ABC TREASURE BOOK BOX ,8,3/24/11 14:46,2.25,12408,Belgium
539421,22914,BLUE COAT RACK PARIS FASHION,6,12/17/10 14:21,4.95,14016,EIRE
569870,22999,TRAVEL CARD WALLET VINTAGE LEAF,2,10/6/11 14:59,0.42,12757,Portugal
570007,84674,FLYING PIG WATERING CAN,6,10/7/11 9:26,2.95,12519,Germany
555282,23221,REINDEER HEART DECORATION SILVER,1,6/2/11 9:04,0.83,12709,Germany
554363,20726,LUNCH BAG WOODLAND,10,5/24/11 10:19,1.65,12647,Germany
547897,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,3/28/11 11:36,1.25,12792,Portugal
573892,22617,BAKING SET SPACEBOY DESIGN,3,11/1/11 13:57,4.95,14911,EIRE
540550,22312,OFFICE MUG WARMER POLKADOT,6,1/10/11 9:11,2.95,12539,Spain
561029,22386,JUMBO BAG PINK POLKADOT,10,7/24/11 11:25,2.08,12490,France
540178,21881,CUTE CATS TAPE,24,1/5/11 12:42,0.19,12681,France
546569,22653,BUTTON BOX ,10,3/15/11 10:53,1.95,14016,EIRE
555542,22312,OFFICE MUG WARMER POLKADOT,6,6/5/11 12:51,2.95,15108,European Community
573286,22600,CHRISTMAS RETROSPOT STAR WOOD,8,10/28/11 14:38,0.85,,Switzerland
