InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
547379,21843,RED RETROSPOT CAKE STAND,1,3/22/11 15:13,10.95,12720,Germany
562602,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,8/8/11 10:11,1.25,12865,Austria
549316,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,4/8/11 9:54,1.65,12705,Germany
562046,21212,PACK OF 72 RETROSPOT CAKE CASES,24,8/2/11 10:34,0.55,12378,Switzerland
556258,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,6/9/11 17:48,1.25,12694,France
555383,22998,TRAVEL CARD WALLET KEEP CALM,4,6/2/11 15:13,0.42,12517,Germany
551544,47599A,PINK PARTY BAGS,30,5/3/11 9:33,2.1,12683,France
558871,21240,BLUE POLKADOT CUP,32,7/4/11 13:19,0.85,12557,Spain
544468,22480,RED TEA TOWEL CLASSIC DESIGN,12,2/21/11 8:33,1.25,,EIRE
574068,23349,ROLL WRAP VINTAGE CHRISTMAS,12,11/2/11 14:51,1.25,12490,France
555553,23204,CHARLOTTE BAG APPLES DESIGN,10,6/5/11 13:45,0.85,12662,Germany
561870,22304,COFFEE MUG BLUE PAISLEY DESIGN,6,7/31/11 11:45,2.55,14911,EIRE
555858,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,6/7/11 14:12,0.85,14911,EIRE
569866,22144,CHRISTMAS CRAFT LITTLE FRIENDS,4,10/6/11 14:50,2.1,12757,Portugal
557328,23285,PINK VINTAGE SPOT BEAKER,1,6/20/11 9:53,0.85,14646,Netherlands
577850,23084,RABBIT NIGHT LIGHT,6,11/22/11 11:04,2.08,14911,EIRE
540550,84637,KITCHEN FLOWER POTS WALL PLAQUE,3,1/10/11 9:11,5.95,12539,Spain
567552,21039,RED RETROSPOT SHOPPING BAG,6,9/21/11 10:40,2.55,12583,France
564734,22090,PAPER BUNTING RETROSPOT,2,8/28/11 13:32,2.95,12484,Spain
545227,84279B,CHERRY BLOSSOM DECORATIVE FLASK,4,3/1/11 9:35,3.75,12428,Finland
552883,23205,CHARLOTTE BAG VINTAGE ALPHABET ,100,5/12/11 10:13,0.72,14646,Netherlands
576907,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,11/17/11 9:34,1.45,12610,Italy
560783,23211,RED ROCKING HORSE HAND PAINTED,24,7/21/11 10:24,1.25,15108,European Community
581574,22074,6 RIBBONS SHIMMERING PINKS ,12,12/9/11 12:09,0.39,12526,Germany
573035,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,10/27/11 13:43,3.95,12433,Norway
562275,23292,SPACEBOY CHILDRENS CUP,8,8/4/11 10:04,1.25,12689,France
578994,21242,RED RETROSPOT PLATE ,8,11/27/11 15:44,1.69,14911,EIRE
579792,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,11/30/11 15:43,2.95,12714,France
554104,21563,RED HEART SHAPE LOVE BUCKET ,6,5/22/11 14:03,2.95,12705,Germany
561658,23336,EGG FRYING PAN PINK ,1,7/28/11 16:06,2.08,12743,Unspecified
561645,22423,REGENCY CAKESTAND 3 TIER,32,7/28/11 15:16,10.95,14911,EIRE
576141,84580,MOUSE TOY WITH PINK T-SHIRT,4,11/14/11 10:47,3.75,14911,EIRE
545295,22354,RETROSPOT PADDED SEAT CUSHION,20,3/1/11 12:09,3.75,12709,Germany
544340,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,24,2/18/11 9:41,2.1,12527,Germany
575067,22356,CHARLOTTE BAG PINK POLKADOT,10,11/8/11 12:45,0.85,12583,France
569866,23273,HEART T-LIGHT HOLDER WILLIE WINKIE,3,10/6/11 14:50,1.65,12757,Portugal
564734,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,8/28/11 13:32,3.75,12484,Spain
581098,23210,WHITE ROCKING HORSE HAND PAINTED,24,12/7/11 11:42,1.25,14911,EIRE
557263,22951,60 CAKE CASES DOLLY GIRL DESIGN,120,6/19/11 11:08,0.42,14646,Netherlands
568095,16016,LARGE CHINESE STYLE SCISSOR,10,9/23/11 14:49,0.85,14911,EIRE
581098,22457,NATURAL SLATE HEART CHALKBOARD ,6,12/7/11 11:42,2.95,14911,EIRE
559704,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,7/12/11 9:54,2.55,12669,France
577850,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,24,11/22/11 11:04,0.29,14911,EIRE
546861,21675,BUTTERFLIES STICKERS,12,3/17/11 15:03,0.85,14911,EIRE
553566,22699,ROSES REGENCY TEACUP AND SAUCER ,12,5/18/11 9:09,2.95,12690,France
579539,23174,REGENCY SUGAR BOWL GREEN,4,11/30/11 10:06,4.15,14911,EIRE
546428,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,6,3/13/11 14:55,2.95,12681,France
557669,22728,ALARM CLOCK BAKELIKE PINK,4,6/22/11 9:43,3.75,12674,France
578539,22559,SEASIDE FLYING DISC,12,11/24/11 14:55,1.25,,Unspecified
552202,47590B,PINK HAPPY BIRTHDAY BUNTING,6,5/6/11 14:51,5.45,12414,Austria
564372,20749,ASSORTED COLOUR MINI CASES,4,8/25/11 9:55,7.95,12714,France
541138,21429,RED GINGHAM ROSE JEWELLERY BOX,8,1/14/11 10:42,1.65,12553,France
555943,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,6/8/11 10:15,1.65,13520,Switzerland
554106,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,5/22/11 14:05,4.15,12710,Germany
540550,21625,VINTAGE UNION JACK APRON,3,1/10/11 9:11,6.95,12539,Spain
567505,22993,SET OF 4 PANTRY JELLY MOULDS,12,9/20/11 14:34,1.25,12352,Norway
558113,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,6/27/11 8:48,7.95,14911,EIRE
538255,17091J,VANILLA INCENSE IN TIN,6,12/10/10 12:33,1.25,14911,EIRE
577809,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,11/22/11 8:34,4.95,12584,Italy
